"mean.V50","mean.V100","mean.V200","lat_dist","distance","area","mean.D50","mean.D100","mean.D200","mean.correction_factor","bottom_area","wetd.D50","wetd.D100","wetd.D200"
0.55393373966217,0.793038845062256,1.13288486003876,-200,4300,11011.5530712306,1.48613250255585,1.67837810516357,2.09074378013611,1.00921142101288,11112.9851225754,0.5059682882598,0.601761148856055,0.672857103026638
0,0,0,200,4300,8957.61010229588,0,0,0,0,8957.61010229588,0,0,0
0.27129065990448,0.192203342914581,0.303283601999283,-200,4400,11264.3266757876,0.579264521598816,0.689045786857605,0.980382263660431,1.01322865486145,11413.3385656282,0.0375616684211376,0.110109850365316,0.132385230993515
0,0,0,200,4400,8704.87005479634,0,0,0,0,8704.87005479634,0,0,0
0,0,0,-200,4500,11461.23060368,0,0,0,0,11461.23060368,0,0,0
0,0,0,200,4500,8507.76035284996,0,0,0,0,8507.76035284996,0,0,0
0.000644789543002844,0.00368638010695577,0.0123100932687521,-200,4600,11590.0089815855,0.287119716405869,0.495888888835907,0.575471043586731,1.00681912899017,11669.0427478282,0.0151938268941897,0.0527662375228726,0.0832925052324425
0,0,0,200,4600,8377.18390651047,0,0,0,0,8377.18390651047,0,0,0
0.000280005886452273,0.00212237820960581,0.0104196239262819,-200,4700,11767.1534325629,0.93673300743103,1.38984060287476,1.6340104341507,1.00570642948151,11834.3018638239,0.52174338975252,0.753817467104508,0.789269694924882
0,0,0,200,4700,8196.13871520758,0,0,0,0,8196.13871520758,0,0,0
0.000533170299604535,0.00292790960520506,0.0127613740041852,-200,4800,11684.1700256765,0.939244508743286,1.46619594097137,1.59281313419342,1.02114927768707,11931.2817820925,0.265905377148487,0.325501485281116,0.373803488915988
0,0,0,200,4800,8280.77550958097,0,0,0,0,8280.77550958097,0,0,0
0.260203063488007,0.381970316171646,0.53361177444458,-200,4900,11541.3506084308,1.14643371105194,1.35480380058289,1.6518794298172,1.02126431465149,11786.7695192716,0.530633442961534,0.61246108680605,0.70664398347861
0,0,0,200,4900,8426.56681296974,0,0,0,0,8426.56681296974,0,0,0
0.245984748005867,0.394430607557297,0.599952399730682,-200,5000,11396.8068540692,1.30352163314819,1.6535507440567,2.15900015830994,1.01813399791718,11603.4765258234,0.503723972167278,0.524643427566595,0.534812686202217
0,0,0,200,5000,8572.56846859306,0,0,0,0,8572.56846859306,0,0,0
0.255303174257278,0.382892549037933,0.572474181652069,-200,5100,11205.960801281,1.12405943870544,1.42891228199005,1.85559093952179,1.03116250038147,11555.1665590257,0.133422963513908,0.146258807732393,0.158927802888724
0,0,0,200,5100,8763.21654810756,0,0,0,0,8763.21654810756,0,0,0
0,0,0,200,5200,8978.1196282357,0,0,0,0,8978.1196282357,0,0,0
0.00209845509380102,0.025930916890502,0.0691662728786469,-200,5200,10990.7576969787,1.10002136230469,1.23852741718292,1.28106164932251,1.02762830257416,11294.4136761501,0.200386493822311,0.25701358824835,0.397049258796797
0.251586228609085,0.409950733184814,0.576840698719025,200,5300,9185.26548925042,0.446712970733643,0.541283309459686,0.756706416606903,1.023273229599,9399.03628190951,0.0303386545680798,0.0411030927226528,0.0519296326847486
0.32853302359581,0.512914419174194,0.710450112819672,-200,5300,10783.0688874274,0.374394923448563,0.474593937397003,0.666106820106506,1.01817345619202,10979.0345174686,0.0528047261838226,0.0908727647130009,0.156163884367535
0.430623978376389,0.63204824924469,0.833238482475281,200,5400,9348.39036347717,0.390464514493942,0.518569886684418,0.738698840141296,1.01108086109161,9451.97857852504,0.382534293046972,0.444371277185889,0.503392030435599
0.983489215373993,1.11985075473785,1.30306959152222,-200,5400,10619.9960716181,0.685527682304382,0.790005326271057,0.984281361103058,1.00598931312561,10683.6025534837,0.381620437330766,0.507780454401486,0.636986082451511
0.36242413520813,0.480517715215683,0.641354739665985,200,5500,9591.03803311288,0.540650427341461,0.658608853816986,0.80664324760437,1.00887751579285,9676.18262472164,0.484714711306295,0.538079936343482,0.626337630724939
0,0,0.000756044522859156,-200,5500,10378.1161237657,0,0,0.151860922574997,1.00542032718658,10434.3689087369,0,0,0.0210704805124524
0.850896537303925,1.06031930446625,1.25289070606232,200,5600,9731.98442643508,0.54387629032135,0.715006232261658,0.991443037986755,1.00456595420837,9776.42022168279,0.772464519772653,0.82993138442904,0.879156519628368
0,0,0.0157929044216871,-200,5600,10237.1913890615,0,0,0.188115328550339,1.01014626026154,10341.0605972421,0,0,0.0438724766257207
0.502322196960449,0.749463498592377,1.08137845993042,200,5700,9869.27109437808,0.626718461513519,0.762183487415314,0.99486243724823,1.00144672393799,9883.54920512082,0.596375420794834,0.678522797580996,0.75359401179998
0,0,0.0109263053163886,-200,5700,10099.8518885225,0,0,0.0453405119478703,1.00407612323761,10141.0201295017,0,0,0.00255663719765901
0.0859294682741165,0.331426709890366,0.677363157272339,200,5800,10017.3957814164,0.14658111333847,0.260004311800003,0.519303143024445,1.00180780887604,10035.5053184249,0.17393252215168,0.39031049441606,0.494377850031762
0,0,0,-200,5800,9951.71502124518,0,0,0,0,9951.71502124518,0,0,0
0.0701590776443481,0.190282925963402,0.428562581539154,200,5900,10183.6082523987,0.0072088441811502,0.122017994523048,0.340331345796585,1.00639355182648,10248.7176795409,1.70329909482189e-05,0.00358332514357967,0.00650037173699268
0,0,0,-200,5900,9785.56215014309,0,0,0,0,9785.56215014309,0,0,0
0,0,0,200,6000,10367.2667055242,0,0,0,0,10367.2667055242,0,0,0
0,0,0,-200,6000,9601.95808721334,0,0,0,0,9601.95808721334,0,0,0
0,0,0,200,6100,10562.0219505727,0,0,0,0,10562.0219505727,0,0,0
0,0,0,-200,6100,9407.1535955742,0,0,0,0,9407.1535955742,0,0,0
0,0,0,200,6200,10761.4397523105,0,0,0,0,10761.4397523105,0,0,0
0,0,0,-200,6200,9207.48122119159,0,0,0,0,9207.48122119159,0,0,0
0,0,0,200,6300,11023.0839396939,0,0,0,0,11023.0839396939,0,0,0
0,0,0,-200,6300,8944.49542686343,0,0,0,0,8944.49542686343,0,0,0
0,0,0,200,6400,11239.1910488605,0,0,0,0,11239.1910488605,0,0,0
0,0,0,-200,6400,8727.48384580016,0,0,0,0,8727.48384580016,0,0,0
0,0,0,-200,6500,8545.26689592749,0,0,0,0,8545.26689592749,0,0,0
0,0,0,200,6500,11421.8551429063,0,0,0,0,11421.8551429063,0,0,0
