"veg","distance","area","lat_dist","wood","fine","gravel","cobble","rock","shade_1","shade_2","shade_3","shade_4","shade_5","shade_6","shade_7","shade_8","shade_9","shade_10","shade_11","shade_12"
0.04,6200,11538.2827590108,400,0.01,0.23,0.23,0,0,0.19,0.16,0.13,0.11,0.1,0.09,0.1,0.11,0.13,0.15,0.18,0.2
0.13,6200,8430.36569681019,-400,0.46,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
0.25,6300,12062.1240505949,400,0.09,0.13,0.13,0,0,0.78,0.77,0.75,0.73,0.72,0.72,0.72,0.73,0.74,0.76,0.78,0.78
0.25,6300,7904.94702489674,-400,0.33,0,0,0,0,1,1,1,1,1,0.99,1,1,1,1,1,1
0.3,6400,12494.6300614551,400,0.11,0.09,0.09,0,0,0.99,0.94,0.89,0.85,0.82,0.81,0.82,0.84,0.87,0.92,0.98,1
0.39,6400,7471.21565534174,-400,0.18,0,0,0,0,1,1,1,0.99,0.99,0.99,0.99,0.99,1,1,1,1
0.48,6500,7106.36708986759,-400,0.09,0,0,0,0,0.97,0.96,0.95,0.94,0.94,0.94,0.94,0.94,0.95,0.96,0.97,0.98
0.18,6500,12859.5435838029,400,0.12,0.12,0.12,0,0,0.86,0.79,0.74,0.69,0.66,0.65,0.66,0.68,0.72,0.77,0.84,0.88
0.48,6600,6783.57570785284,-400,0.09,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
0.08,6600,13183.0996292308,400,0.11,0.15,0.15,0,0,0.57,0.51,0.46,0.42,0.39,0.38,0.38,0.41,0.44,0.49,0.55,0.59
0.02,6700,13313.9689940959,400,0.03,0.14,0.14,0,0,0.34,0.26,0.2,0.16,0.13,0.12,0.13,0.15,0.18,0.24,0.32,0.37
0.48,6700,6652.18140098453,-400,0.09,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
0,6800,13161.9793997705,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01
0.48,6800,6804.77101410925,-400,0.09,0,0,0,0,1,0.99,0.98,0.98,0.97,0.97,0.97,0.98,0.98,0.99,0.99,1
0.11,6900,12923.8359600902,400,0.16,0,0,0,0,0.39,0.4,0.42,0.44,0.45,0.47,0.46,0.44,0.42,0.41,0.39,0.39
0.48,6900,7040.54325221479,-400,0.09,0,0,0,0,0.99,0.98,0.97,0.96,0.96,0.95,0.96,0.96,0.97,0.98,0.99,1
0.18,7000,11990.8489828706,400,0.24,0,0,0,0,0.73,0.73,0.74,0.76,0.78,0.78,0.78,0.77,0.75,0.73,0.73,0.73
0.48,7000,7976.98739978671,-400,0.09,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
0.15,7100,11257.1099705845,400,0.19,0,0,0,0,0.87,0.84,0.78,0.71,0.68,0.67,0.67,0.7,0.75,0.82,0.86,0.87
0.48,7100,8712.10912530124,-400,0.09,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
0.43,7200,9263.73088778555,-400,0.08,0,0,0,0,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
0.05,7200,10705.470859915,400,0.12,0,0,0,0,0.62,0.53,0.45,0.39,0.36,0.35,0.35,0.38,0.42,0.49,0.59,0.66
0.06,7300,9711.78301379085,-400,0.01,0,0,0,0,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.17
0,7300,10257.3200003058,400,0,0,0,0,0,0.04,0.02,0,0,0,0,0,0,0,0.01,0.03,0.06
0,7400,10065.215572983,-400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7400,9903.89599055052,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7500,10323.1900063902,-400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7500,9645.94487820566,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7600,10499.5316711068,-400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7600,9469.56760171056,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
