length_cm,mass_kg
141.9844789,22.2595778
144.9379157,22.31430805
145.9756098,18.70211102
144.9778271,25.70758405
144.9379157,24.88663018
144.059867,24.01094605
147.2926829,24.44878812
148.0110865,21.54808444
150.4855876,21.98592651
149.248337,22.31430805
148.9290466,23.18999218
149.886918,26.36434715
151.0044346,27.02111024
152.0421286,27.78733385
150.8447894,25.05082095
152.9201774,23.84675528
154.037694,22.86161063
153.9977827,26.80218921
156.5121951,22.6426896
156.9911308,23.18999218
153,28.55355747
152.0421286,25.92650508
153.9578714,31.72791243
156.9911308,31.5089914
158.0288248,31.83737295
158.9866962,33.91712275
158.9866962,29.64816263
159.9445676,29.10086005
161.1419069,25.81704457
163.2172949,28.44409695
160.9423503,27.62314308
158.9068736,28.33463643
159.7050998,27.45895231
164.9733925,28.99139953
166.8891353,29.97654418
169.9223947,30.63330727
169.1241685,32.71305708
166.0110865,34.02658327
164.0953437,33.26035966
163.9356984,30.63330727
165.1330377,31.18060985
166.8093126,32.27521501
166.9689579,34.02658327
167.2882483,36.21579359
165.9312639,37.96716185
163.8558758,36.10633307
164.0155211,38.18608288
164.0155211,39.7185301
162.1796009,38.73338546
162.1796009,37.85770133
160.9822616,33.69820172
161.940133,34.02658327
161.54102,32.71305708
168.8847007,41.90774042
170.0820399,40.3752932
171.0399113,40.92259578
171.0399113,41.25097733
173.1152993,42.78342455
169.6031042,40.92259578
168.9645233,44.20641126
171.1197339,41.90774042
171.2793792,37.41985927
172.2372506,38.29554339
170.0820399,38.40500391
170.0820399,34.9022674
172.2372506,34.35496482
172.8758315,36.43471462
175.1906874,34.35496482
175.0310421,36.43471462
175.9090909,38.07662236
177.2660754,36.43471462
175.0310421,41.03205629
174.0731707,40.48475371
175.9889135,43.65910868
175.9889135,40.92259578
177.8248337,41.68881939
180.059867,38.07662236
181.097561,39.17122752
179.8203991,41.46989836
179.1019956,43.33072713
181.9756098,42.89288507
183.9711752,44.09695074
181.9756098,42.01720094
179.5809313,47.38076622
174.9512195,50.44566067
176.0687361,49.13213448
179.1019956,52.41594996
182.7738359,45.73885848
180.059867,47.70914777
181.9756098,49.13213448
189,44.53479281
191.075388,43.76856919
187.0842572,46.83346364
198.0199557,55.69976544
199.0576497,54.27677873
183.0133038,50.11727912
181.9756098,50.11727912
184.210643,50.33620016
185.0886918,50.99296325
183.0931264,56.90383112
187.0044346,53.62001564
184.9290466,47.38076622
185.0088692,49.56997654
185.8070953,49.13213448
191.9534368,50.6645817
195.0665188,50.00781861
194.827051,52.30648944
196.7427938,52.19702893
196.1042129,53.83893667
196.1042129,54.38623925
191.1552106,53.29163409
191.075388,54.38623925
192.0332594,54.7146208
190.9157428,58.32681783
192.9113082,59.96872557
194.9068736,58.10789679
200.8935698,58.87412041
203.1286031,62.9241595
223.0842572,72.55668491
