date,flow_cms,temp_c
9/26/2020,214.3868592,14
9/27/2020,214.3868592,13.9
9/28/2020,213.2540357,14
9/29/2020,213.8204475,13.7
9/30/2020,215.5196828,13.8
10/1/2020,214.1036534,14
10/2/2020,214.1036534,13.7
10/3/2020,214.1036534,13.6
10/4/2020,213.5372416,13.6
10/5/2020,209.2891532,13.9
10/6/2020,207.8731238,13.9
10/7/2020,207.8731238,13.1
10/8/2020,208.4395355,12.9
10/9/2020,200.5097706,12.8
10/10/2020,192.5800057,12.5
10/11/2020,193.4296233,13.2
10/12/2020,196.5448881,13
10/13/2020,195.4120646,12.9
10/14/2020,194.8456528,12.9
10/15/2020,190.3143585,13.3
10/16/2020,185.7830643,13.6
10/17/2020,179.8357406,13.4
10/18/2020,175.3044463,13.6
10/19/2020,170.7731521,13.7
10/20/2020,166.5250637,14.1
10/21/2020,165.1090343,13.7
10/22/2020,165.3922402,13.3
10/23/2020,165.9586519,12.4
10/24/2020,165.675446,12.5
10/25/2020,165.9586519,12.5
10/26/2020,166.2418578,12.9
10/27/2020,165.3922402,12.7
10/28/2020,165.675446,12.4
10/29/2020,166.2418578,12.4
10/30/2020,165.9586519,12.8
10/31/2020,168.7907108,12.6
11/1/2020,170.4899462,12.7
11/2/2020,171.6227698,12.7
11/3/2020,171.6227698,12.7
11/4/2020,171.056358,12.7
11/5/2020,166.8082696,12.5
11/6/2020,163.9762107,12.1
11/7/2020,163.9762107,12
11/8/2020,163.126593,12
11/9/2020,162.8433871,11.6
11/10/2020,162.8433871,11.4
11/11/2020,162.8433871,11.4
11/12/2020,162.5601813,11.8
11/13/2020,163.6930048,11.7
11/14/2020,163.9762107,11.7
11/15/2020,163.126593,11.8
11/16/2020,162.8433871,11.8
11/17/2020,160.2945341,11.8
11/18/2020,159.1617106,11.8
11/19/2020,157.4624752,11.8
11/20/2020,151.2319456,11.4
11/21/2020,149.8159162,11.4
11/22/2020,145.8510337,11.3
11/23/2020,140.4701218,11.3
11/24/2020,138.2044747,11.3
11/25/2020,138.2044747,12
11/26/2020,136.7884452,11.8
11/27/2020,135.0892099,11.7
11/28/2020,133.9563863,11.6
11/29/2020,133.9563863,11.3
11/30/2020,133.9563863,11.3
12/1/2020,133.1067686,11.2
12/2/2020,131.9739451,11.9
12/3/2020,129.425092,11.6
12/4/2020,127.4426508,11.6
12/5/2020,125.4602096,11.4
12/6/2020,125.1770037,11.4
12/7/2020,124.6105919,11.4
12/8/2020,124.8937978,11.4
12/9/2020,124.8937978,11.4
12/10/2020,124.8937978,11.4
12/11/2020,125.1770037,11.4
12/12/2020,126.876239,11.3
12/13/2020,129.425092,11.3
12/14/2020,131.1243274,11.3
12/15/2020,128.5754744,11.3
12/16/2020,125.7434155,11.3
12/17/2020,131.1243274,11.3
12/18/2020,126.876239,11.3
12/19/2020,122.0617389,11.3
12/20/2020,120.3625035,11.3
12/21/2020,120.0792976,11.3
12/22/2020,119.7960918,11.3
12/23/2020,119.22968,11.2
12/24/2020,118.9464741,11.2
12/25/2020,119.7960918,11.2
12/26/2020,132.2571509,11.2
12/27/2020,128.8586803,10.5
12/28/2020,124.0441801,10.2
12/29/2020,122.0617389,10.2
12/30/2020,120.9289153,10.2
12/31/2020,120.9289153,10.2
1/1/2021,120.6457094,10.3
1/2/2021,120.6457094,10.3
1/3/2021,121.778533,10.3
1/4/2021,129.9915038,10.4
1/5/2021,155.7632399,10.1
1/6/2021,133.6731804,9.5
1/7/2021,128.0090626,9.3
1/8/2021,127.7258567,9.5
1/9/2021,128.5754744,9.7
1/10/2021,127.1594449,9.6
1/11/2021,124.6105919,9.5
1/12/2021,123.4777683,9.5
1/13/2021,124.8937978,9.5
1/14/2021,130.2747097,9.5
1/15/2021,127.7258567,9.5
1/16/2021,125.1770037,9.5
1/17/2021,122.6281507,9.5
1/18/2021,121.2121212,10
1/19/2021,120.3625035,9.9
1/20/2021,120.3625035,9.6
1/21/2021,120.0792976,9.5
1/22/2021,120.0792976,9.5
1/23/2021,120.3625035,9.5
1/24/2021,120.3625035,9.1
1/25/2021,121.2121212,9.1
1/26/2021,121.4953271,8.8
1/27/2021,142.1693571,8.8
1/28/2021,206.1738884,9.1
1/29/2021,272.4440668,9.1
1/30/2021,170.4899462,9.5
1/31/2021,148.1166808,9.3
2/1/2021,140.1869159,9.3
2/2/2021,220.334183,9.3
2/3/2021,248.0883602,9.4
2/4/2021,159.7281223,9.3
2/5/2021,142.452563,8.1
2/6/2021,137.354857,7.9
2/7/2021,134.2395922,9
2/8/2021,132.8235627,9.2
2/9/2021,131.6907392,9.3
2/10/2021,130.5579156,9.1
2/11/2021,130.5579156,9.2
2/12/2021,214.1036534,9.3
2/13/2021,218.6349476,9.3
2/14/2021,184.0838289,9.3
2/15/2021,188.3319173,9.2
2/16/2021,181.5349759,8.8
2/17/2021,155.1968281,8.8
2/18/2021,144.7182101,8.9
2/19/2021,144.1517984,8.7
2/20/2021,147.2670632,8.6
2/21/2021,143.3021807,8.6
2/22/2021,138.4876805,8.5
2/23/2021,135.3724157,8.5
2/24/2021,133.6731804,8.5
2/25/2021,132.2571509,8.5
2/26/2021,131.6907392,8.8
2/27/2021,131.1243274,9.4
2/28/2021,129.9915038,9.3
3/1/2021,129.7082979,9.3
3/2/2021,129.425092,9.1
3/3/2021,130.8411215,7.9
3/4/2021,131.6907392,7.9
3/5/2021,131.9739451,8.4
3/6/2021,134.806004,9
3/7/2021,135.0892099,9.6
3/8/2021,133.1067686,9.7
3/9/2021,132.8235627,10.9
3/10/2021,144.7182101,10.9
3/11/2021,152.931181,11
3/12/2021,140.4701218,11
3/13/2021,136.2220334,10.7
3/14/2021,134.806004,10.7
3/15/2021,225.1486831,10.9
3/16/2021,185.7830643,11.1
3/17/2021,155.7632399,11.2
3/18/2021,167.0914755,11.8
3/19/2021,245.5395072,11.8
3/20/2021,204.757859,10.8
3/21/2021,167.3746814,10.5
3/22/2021,155.480034,11
3/23/2021,148.3998867,11
3/24/2021,144.1517984,10.7
3/25/2021,141.6029453,10.7
3/26/2021,139.6205041,10.5
3/27/2021,138.2044747,10.6
3/28/2021,137.354857,10.2
3/29/2021,135.0892099,10.6
3/30/2021,132.8235627,10.7
3/31/2021,131.4075333,10.7
4/1/2021,130.8411215,10.7
4/2/2021,137.9212688,10.3
4/3/2021,151.5151515,9.2
4/4/2021,157.4624752,9.2
4/5/2021,156.3296517,9.2
4/6/2021,155.7632399,10
4/7/2021,157.1792693,10.2
4/8/2021,164.8258284,10.1
4/9/2021,169.9235344,10.2
4/10/2021,169.0739167,11.4
4/11/2021,168.2242991,11.4
4/12/2021,167.6578873,11.1
4/13/2021,175.5876522,11
4/14/2021,185.2166525,10.6
4/15/2021,190.5975644,10.4
